,qid,question,question_seg,Guessed_SO_Pair
1853,1854,信用卡介绍,信用卡|介绍|,"[('信用卡', '介绍'), 1]"
1854,1855,短信银行查询信用卡还款日方法,短信|银行|查询|信用卡|还款日|方法|,"[[('信用卡', '查询'), 0.9213483146067416], [('短信', '查询'), 0.06741573033707865], [('信用卡', '短信'), 0.011235955056179775]]"
1855,1856,营业网点查询信用卡还款日方法,营业网点|查询|信用卡|还款日|方法|,"[[('信用卡', '查询'), 0.5616438356164384], [('信用卡', '方法'), 0.2671232876712329], [('方法', '查询'), 0.06164383561643835], [('信用卡', '还款日'), 0.0547945205479452], [('还款日', '查询'), 0.0410958904109589], [('方法', '还款日'), 0.0136986301369863]]"
1856,1857,网银查询信用卡还款日方法,网银|查询|信用卡|还款日|方法|,"[[('信用卡', '查询'), 0.8541666666666666], [('信用卡', '还款日'), 0.08333333333333333], [('还款日', '查询'), 0.0625]]"
1857,1858,手机银行查询信用卡还款日方法,手机银行|查询|信用卡|还款日|方法|,"[[('信用卡', '查询'), 0.6949152542372882], [('手机银行', '查询'), 0.15254237288135594], [('信用卡', '还款日'), 0.06779661016949153], [('还款日', '查询'), 0.05084745762711865], [('信用卡', '手机银行'), 0.025423728813559324], [('手机银行', '还款日'), 0.00847457627118644]]"
1858,1859,电话银行查询信用卡还款日方法,电话银行|查询|信用卡|还款日|方法|,"[[('信用卡', '查询'), 0.8541666666666666], [('信用卡', '还款日'), 0.08333333333333333], [('还款日', '查询'), 0.0625]]"
1859,1860,信用卡最低/最优还款额介绍,信用卡|最低|最优|还款额|介绍|,"[('信用卡', '还款额'), 1]"
1860,1861,网银办理信用卡自动还款方法,网银|办理|信用卡|自动还款|方法|,
1861,1862,什么是信用卡免息还款期,什么|是|信用卡|免息还款期|,"[('信用卡', '免息还款期'), 1]"
1862,1863,签订信用卡自动还款方法,签订|信用卡|自动还款|方法|,"[('信用卡', '方法'), 1]"
1863,1864,信用卡金卡年费收取标准,信用卡|金卡|年费|收取|标准|,"[[('信用卡', '年费'), 0.32], [('信用卡', '标准'), 0.18], [('标准', '收取'), 0.14], [('年费', '标准'), 0.12], [('信用卡', '收取'), 0.08], [('标准', '金卡'), 0.04], [('信用卡', '金卡'), 0.04], [('年费', '收取'), 0.04], [('年费', '金卡'), 0.02], [('收取', '金卡'), 0.02]]"
1864,1865,信用卡分类,信用卡|分类|,"[('信用卡', '分类'), 1]"
1865,1866,银行卡功能介绍,银行卡|功能|介绍|,"[[('功能', '介绍'), 0.6], [('功能', '银行卡'), 0.2], [('银行卡', '介绍'), 0.2]]"
1866,1867,贷款等额本息还款法介绍,贷款|等额本息|还款法|介绍|,"[[('贷款', '介绍'), 0.4444444444444444], [('贷款', '还款法'), 0.3333333333333333], [('介绍', '还款法'), 0.2222222222222222]]"
1867,1868,小M借（个人信用消费贷款）还款方法,小M借|个人信用|消费贷款|还款|方法|,"[[('个人信用', '消费贷款'), 0.7647058823529411], [('个人信用', '还款'), 0.11764705882352941], [('还款', '消费贷款'), 0.11764705882352941]]"
1868,1869,修改信用卡自动还款方法,修改|信用卡|自动还款|方法|,"[('信用卡', '方法'), 1]"
1869,1870,能否使用基金通过电子银行申请质押贷款？,能否|使用|基金|通过|电子银行|申请|质押贷款|,"[[('电子银行', '申请'), 0.2777777777777778], [('能否', '申请'), 0.16666666666666666], [('基金', '能否'), 0.1111111111111111], [('能否', '使用'), 0.1111111111111111], [('基金', '申请'), 0.05555555555555555], [('申请', '使用'), 0.05555555555555555], [('基金', '电子银行'), 0.05555555555555555], [('基金', '使用'), 0.05555555555555555], [('电子银行', '使用'), 0.05555555555555555], [('电子银行', '能否'), 0.05555555555555555]]"
1870,1871,个人质押贷款是否支持理财产品,个人质押贷款|是否|支持|理财产品|,"[('理财产品', '个人质押贷款'), 1]"
1871,1872,查询信用卡自动还款方法,查询|信用卡|自动还款|方法|,"[[('信用卡', '查询'), 0.6307692307692307], [('信用卡', '方法'), 0.3], [('方法', '查询'), 0.06923076923076923]]"
1872,1873,查询交易明细具体时间的方法,查询交易|明细|具体|时间|的|方法|,"[[('查询交易', '明细'), 0.16666666666666666], [('时间', '查询交易'), 0.16666666666666666], [('查询交易', '具体'), 0.16666666666666666], [('时间', '明细'), 0.16666666666666666], [('明细', '具体'), 0.16666666666666666], [('时间', '具体'), 0.16666666666666666]]"
1873,1874,信用卡自动还款重复还款处理方法,信用卡|自动还款|重复|还款|处理|方法|,"[[('信用卡', '还款'), 0.76], [('信用卡', '自动还款'), 0.2], [('自动还款', '还款'), 0.04]]"
1874,1875,信用卡自动还款介绍,信用卡|自动还款|介绍|,"[('信用卡', '介绍'), 1]"
1875,1876,信用卡到期不换卡方法,信用卡|到期|不|换卡|方法|,"[('信用卡', '换卡'), 1]"
1876,1877,信用卡补卡领卡介绍,信用卡|补卡|领卡|介绍|,
1877,1878,信用卡电话银行卡损换卡,信用卡|电话银行|卡|损换卡|,"[[('信用卡', '电话银行'), 0.42857142857142855], [('信用卡', '卡'), 0.19047619047619047], [('信用卡', '损换卡'), 0.14285714285714285], [('卡', '损换卡'), 0.14285714285714285], [('电话银行', '损换卡'), 0.047619047619047616], [('电话银行', '卡'), 0.047619047619047616]]"
1878,1879,信用卡透支计息规定,信用卡透支|计息|规定|,"[[('计息', '规定'), 0.5], [('信用卡透支', '规定'), 0.25], [('计息', '信用卡透支'), 0.25]]"
1879,1880,信用卡分期办理条件,信用卡|分期|办理|条件|,"[[('信用卡', '办理'), 0.3150684931506849], [('信用卡', '分期'), 0.273972602739726], [('信用卡', '条件'), 0.1917808219178082], [('办理', '分期'), 0.1232876712328767], [('办理', '条件'), 0.0821917808219178], [('条件', '分期'), 0.0136986301369863]]"
1880,1881,信用卡办卡领卡介绍,信用卡|办卡|领卡|介绍|,"[[('信用卡', '办卡'), 0.4], [('信用卡', '领卡'), 0.4], [('办卡', '领卡'), 0.2]]"
1881,1882,信用卡副卡申请方法,信用卡|副卡|申请|方法|,"[[('信用卡', '申请'), 0.6470588235294118], [('信用卡', '副卡'), 0.29411764705882354], [('副卡', '申请'), 0.058823529411764705]]"
1882,1883,手机银行查询信用卡账单日方法,手机银行|查询|信用卡|账单日|方法|,"[[('信用卡', '查询'), 0.7192982456140351], [('手机银行', '查询'), 0.15789473684210525], [('信用卡', '账单日'), 0.043859649122807015], [('账单日', '查询'), 0.043859649122807015], [('信用卡', '手机银行'), 0.02631578947368421], [('手机银行', '账单日'), 0.008771929824561403]]"
1883,1884,网银查询信用卡账单日方法,网银|查询|信用卡|账单日|方法|,"[[('信用卡', '查询'), 0.8913043478260869], [('信用卡', '账单日'), 0.05434782608695652], [('账单日', '查询'), 0.05434782608695652]]"
1884,1885,电话银行查询信用卡账单日方法,电话银行|查询|信用卡|账单日|方法|,"[[('信用卡', '查询'), 0.8913043478260869], [('信用卡', '账单日'), 0.05434782608695652], [('账单日', '查询'), 0.05434782608695652]]"
1885,1886,信用卡修改还款日条件,信用卡|修改|还款日|条件|,"[[('信用卡', '修改'), 0.7619047619047619], [('信用卡', '还款日'), 0.19047619047619047], [('还款日', '修改'), 0.047619047619047616]]"
1886,1887,信用卡修改还款日生效时间,信用卡|修改|还款日|生效时间|,"[[('信用卡', '修改'), 0.9411764705882353], [('信用卡', '生效时间'), 0.029411764705882353], [('生效时间', '修改'), 0.029411764705882353]]"
1887,1888,手机银行办理信用卡自动还款方法,手机银行|办理|信用卡|自动还款|方法|,"[('信用卡', '手机银行'), 1]"
1888,1889,微信银行办理信用卡自动还款方法,微信银行|办理|信用卡|自动还款|方法|,"[[('信用卡', '自动还款'), 0.5263157894736842], [('信用卡', '微信银行'), 0.3684210526315789], [('自动还款', '微信银行'), 0.10526315789473684]]"
1889,1890,短信银行办理信用卡自动还款方法,短信|银行|办理|信用卡|自动还款|方法|,"[[('信用卡', '方法'), 0.7647058823529411], [('信用卡', '自动还款'), 0.19607843137254902], [('方法', '自动还款'), 0.0392156862745098]]"
1890,1891,电话银行办理信用卡自动还款方法,电话银行|办理|信用卡|自动还款|方法|,
1891,1892,信用卡免息期时间,信用卡|免息期|时间|,"[('信用卡', '免息期'), 1]"
1892,1893,信用卡年费标准,信用卡|年费|标准|,"[[('信用卡', '年费'), 0.5161290322580645], [('信用卡', '标准'), 0.2903225806451613], [('年费', '标准'), 0.1935483870967742]]"
1893,1894,信用卡个人金普卡年费减免条件,信用卡|个人|金普卡|年费|减免|条件|,"[[('信用卡', '年费'), 0.48484848484848486], [('年费', '减免'), 0.2727272727272727], [('信用卡', '减免'), 0.24242424242424243]]"
1894,1895,网银修改信用卡自动还款方法,网银|修改|信用卡|自动还款|方法|,"[('信用卡', '修改'), 1]"
1895,1896,电话银行修改信用卡自动还款方法,电话银行|修改|信用卡|自动还款|方法|,
1896,1897,营业网点修改信用卡自动还款方法,营业网点|修改|信用卡|自动还款|方法|,"[[('信用卡', '修改'), 0.7441860465116279], [('信用卡', '自动还款'), 0.23255813953488372], [('自动还款', '修改'), 0.023255813953488372]]"
1897,1898,查询小M借（个人信用消费贷款）还款信息方法,查询|小M借|个人信用|消费贷款|还款|信息|方法|,"[[('个人信用', '消费贷款'), 0.41935483870967744], [('个人信用', '小M借'), 0.2903225806451613], [('小M借', '消费贷款'), 0.2903225806451613]]"
1898,1899,小M借（个人信用消费贷款）介绍,小M借|个人信用|消费贷款|介绍|,"[[('个人信用', '消费贷款'), 0.41935483870967744], [('个人信用', '小M借'), 0.2903225806451613], [('小M借', '消费贷款'), 0.2903225806451613]]"
1899,1900,小M借（个人信用消费贷款）期限,小M借|个人信用|消费贷款|期限|,"[[('个人信用', '消费贷款'), 0.41935483870967744], [('个人信用', '小M借'), 0.2903225806451613], [('小M借', '消费贷款'), 0.2903225806451613]]"
1900,1901,小M借（个人信用消费贷款）收款及还款账户,小M借|个人信用|消费贷款|收款|及|还款|账户|,"[[('个人信用', '消费贷款'), 0.41935483870967744], [('个人信用', '小M借'), 0.2903225806451613], [('小M借', '消费贷款'), 0.2903225806451613]]"
1901,1902,小M借（个人信用消费贷款）还款账户余额不足的影响,小M借|个人信用|消费贷款|还款|账户余额|不足|的|影响|,"[[('个人信用', '消费贷款'), 0.28888888888888886], [('个人信用', '小M借'), 0.2], [('小M借', '消费贷款'), 0.2], [('还款', '影响'), 0.13333333333333333], [('个人信用', '还款'), 0.044444444444444446], [('还款', '消费贷款'), 0.044444444444444446], [('小M借', '还款'), 0.022222222222222223], [('小M借', '影响'), 0.022222222222222223], [('个人信用', '影响'), 0.022222222222222223], [('影响', '消费贷款'), 0.022222222222222223]]"
1902,1903,网银查询信用卡自动还款方法,网银|查询|信用卡|自动还款|方法|,"[('信用卡', '方法'), 1]"
1903,1904,电话银行查询信用卡自动还款方法,电话银行|查询|信用卡|自动还款|方法|,"[[('信用卡', '查询'), 0.8541666666666666], [('信用卡', '电话银行'), 0.09375], [('电话银行', '查询'), 0.052083333333333336]]"
1904,1905,微信银行查询信用卡自动还款方法,微信银行|查询|信用卡|自动还款|方法|,"[[('信用卡', '查询'), 0.780952380952381], [('信用卡', '自动还款'), 0.09523809523809523], [('信用卡', '微信银行'), 0.06666666666666667], [('微信银行', '查询'), 0.02857142857142857], [('自动还款', '微信银行'), 0.01904761904761905], [('自动还款', '查询'), 0.009523809523809525]]"
1905,1906,营业网点查询信用卡自动还款方法,营业网点|查询|信用卡|自动还款|方法|,"[('信用卡', '查询'), 1]"
1906,1907,信用卡自动还款部分还款标志,信用卡|自动还款|部分|还款|标志|,"[[('信用卡', '还款'), 0.76], [('信用卡', '自动还款'), 0.2], [('自动还款', '还款'), 0.04]]"
1907,1908,信用卡营业网点到期换卡,信用卡|营业网点|到期|换卡|,"[[('信用卡', '换卡'), 0.5238095238095238], [('信用卡', '营业网点'), 0.38095238095238093], [('换卡', '营业网点'), 0.09523809523809523]]"
1908,1909,信用卡挂失后的还款方法,信用卡|挂失|后|的|还款|方法|,"[[('信用卡', '还款'), 0.76], [('信用卡', '挂失'), 0.22], [('还款', '挂失'), 0.02]]"
1909,1910,银行卡或存折的挂失方法,银行卡|或|存折|的|挂失|方法|,"[[('挂失', '存折'), 0.2857142857142857], [('银行卡', '存折'), 0.14285714285714285], [('银行卡', '挂失'), 0.14285714285714285], [('方法', '银行卡'), 0.14285714285714285], [('方法', '存折'), 0.14285714285714285], [('方法', '挂失'), 0.14285714285714285]]"
1910,1911,信用卡挂失补卡手续费,信用卡|挂失|补卡|手续费|,"[[('信用卡', '手续费'), 0.5555555555555556], [('信用卡', '挂失'), 0.4074074074074074], [('手续费', '挂失'), 0.037037037037037035]]"
1911,1912,信用卡营业网点卡损换卡,信用卡|营业网点|卡|损换卡|,"[[('信用卡', '营业网点'), 0.4], [('信用卡', '卡'), 0.2], [('信用卡', '损换卡'), 0.15], [('卡', '损换卡'), 0.15], [('营业网点', '损换卡'), 0.05], [('营业网点', '卡'), 0.05]]"
1912,1913,信用卡透支取现及转账计息规则,信用卡透支|取现|及|转账|计息规则|,"[[('信用卡透支', '转账'), 0.16666666666666666], [('转账', '计息规则'), 0.16666666666666666], [('转账', '取现'), 0.16666666666666666], [('信用卡透支', '计息规则'), 0.16666666666666666], [('信用卡透支', '取现'), 0.16666666666666666], [('取现', '计息规则'), 0.16666666666666666]]"
1913,1914,信用卡违约金计算方法,信用卡|违约金|计算方法|,"[[('信用卡', '违约金'), 0.6], [('信用卡', '计算方法'), 0.2], [('违约金', '计算方法'), 0.2]]"
1914,1915,信用卡小M贷的利率,信用卡|小M贷|的|利率|,"[('信用卡', '利率'), 1]"
1915,1916,信用卡消费分期办理条件,信用卡|消费分期|办理|条件|,"[[('信用卡', '条件'), 0.6363636363636364], [('信用卡', '消费分期'), 0.3181818181818182], [('条件', '消费分期'), 0.045454545454545456]]"
1916,1917,信用卡现金分期办理条件,信用卡|现金分期|办理|条件|,"[[('信用卡', '办理'), 0.41818181818181815], [('信用卡', '条件'), 0.2545454545454545], [('信用卡', '现金分期'), 0.16363636363636364], [('办理', '条件'), 0.10909090909090909], [('办理', '现金分期'), 0.03636363636363636], [('条件', '现金分期'), 0.01818181818181818]]"
1917,1918,信用卡汇总分期办理条件,信用卡|汇总|分期|办理|条件|,"[[('信用卡', '办理'), 0.32857142857142857], [('信用卡', '分期'), 0.2857142857142857], [('办理', '分期'), 0.12857142857142856], [('信用卡', '汇总'), 0.11428571428571428], [('汇总', '分期'), 0.11428571428571428], [('办理', '汇总'), 0.02857142857142857]]"
1918,1919,启用信用卡方法,启用|信用卡|方法|,"[[('信用卡', '方法'), 0.8863636363636364], [('信用卡', '启用'), 0.06818181818181818], [('方法', '启用'), 0.045454545454545456]]"
1919,1920,查询信用卡办卡进度,查询|信用卡|办卡|进度|,"[('信用卡', '查询'), 1]"
1920,1921,小M办理信用卡方法,小M|办理|信用卡|方法|,"[[('信用卡', '方法'), 0.5735294117647058], [('信用卡', '办理'), 0.3382352941176471], [('办理', '方法'), 0.08823529411764706]]"
1921,1922,手机银行办理信用卡方法,手机银行|办理|信用卡|方法|,"[[('信用卡', '方法'), 0.4936708860759494], [('信用卡', '办理'), 0.2911392405063291], [('手机银行', '办理'), 0.0759493670886076], [('办理', '方法'), 0.0759493670886076], [('信用卡', '手机银行'), 0.0379746835443038], [('手机银行', '方法'), 0.02531645569620253]]"
1922,1923,信用卡副卡办理条件,信用卡|副卡|办理|条件|,"[[('信用卡', '办理'), 0.46], [('信用卡', '条件'), 0.28], [('办理', '条件'), 0.12], [('信用卡', '副卡'), 0.1], [('条件', '副卡'), 0.02], [('办理', '副卡'), 0.02]]"
1923,1924,信用卡副卡申请材料,信用卡|副卡|申请材料|,"[[('信用卡', '副卡'), 0.7142857142857143], [('信用卡', '申请材料'), 0.14285714285714285], [('副卡', '申请材料'), 0.14285714285714285]]"
1924,1925,网上银行修改信用卡还款日方法,网上银行|修改|信用卡|还款日|方法|,"[[('信用卡', '方法'), 0.47560975609756095], [('信用卡', '修改'), 0.3902439024390244], [('方法', '修改'), 0.06097560975609756], [('网上银行', '修改'), 0.036585365853658534], [('信用卡', '网上银行'), 0.024390243902439025], [('方法', '网上银行'), 0.012195121951219513]]"
1925,1926,信用卡客服电话是多少,信用卡|客服电话|是|多少|,"[('信用卡', '客服电话'), 1]"
1926,1927,微信银行修改信用卡还款日方法,微信银行|修改|信用卡|还款日|方法|,"[[('信用卡', '方法'), 0.3939393939393939], [('信用卡', '修改'), 0.32323232323232326], [('信用卡', '还款日'), 0.08080808080808081], [('信用卡', '微信银行'), 0.0707070707070707], [('方法', '修改'), 0.050505050505050504], [('还款日', '修改'), 0.020202020202020204], [('还款日', '微信银行'), 0.020202020202020204], [('方法', '还款日'), 0.020202020202020204], [('微信银行', '修改'), 0.010101010101010102], [('方法', '微信银行'), 0.010101010101010102]]"
1927,1928,电话银行修改信用卡还款日方法,电话银行|修改|信用卡|还款日|方法|,"[[('信用卡', '方法'), 0.43333333333333335], [('信用卡', '修改'), 0.35555555555555557], [('信用卡', '电话银行'), 0.1], [('方法', '修改'), 0.05555555555555555], [('方法', '电话银行'), 0.044444444444444446], [('电话银行', '修改'), 0.011111111111111112]]"
1928,1929,营业网点办理信用卡自动还款方法,营业网点|办理|信用卡|自动还款|方法|,"[[('信用卡', '方法'), 0.48148148148148145], [('信用卡', '办理'), 0.2839506172839506], [('信用卡', '自动还款'), 0.12345679012345678], [('办理', '方法'), 0.07407407407407407], [('方法', '自动还款'), 0.024691358024691357], [('办理', '自动还款'), 0.012345679012345678]]"
1929,1930,黑金卡年费收取标准,黑金卡|年费|收取|标准|,
1930,1931,白金卡年费收取标准,白金卡|年费|收取|标准|,"[[('年费', '白金卡'), 0.46153846153846156], [('年费', '标准'), 0.46153846153846156], [('标准', '白金卡'), 0.07692307692307693]]"
1931,1932,信用卡普卡年费收取标准,信用卡|普卡|年费|收取|标准|,"[[('信用卡', '年费'), 0.3333333333333333], [('信用卡', '标准'), 0.1875], [('标准', '收取'), 0.14583333333333334], [('年费', '标准'), 0.125], [('信用卡', '收取'), 0.08333333333333333], [('年费', '收取'), 0.041666666666666664], [('年费', '普卡'), 0.020833333333333332], [('收取', '普卡'), 0.020833333333333332], [('标准', '普卡'), 0.020833333333333332], [('信用卡', '普卡'), 0.020833333333333332]]"
1932,1933,白金卡年费减免条件,白金卡|年费|减免|条件|,"[[('条件', '减免'), 0.2777777777777778], [('年费', '减免'), 0.25], [('年费', '条件'), 0.25], [('年费', '白金卡'), 0.16666666666666666], [('减免', '白金卡'), 0.027777777777777776], [('条件', '白金卡'), 0.027777777777777776]]"
1933,1934,查询信用卡是否达到年费减免条件,查询|信用卡|是否|达到|年费|减免|条件|,"[[('信用卡', '查询'), 0.4079601990049751], [('信用卡', '年费'), 0.07960199004975124], [('信用卡', '条件'), 0.06965174129353234], [('条件', '减免'), 0.04975124378109453], [('查询', '是否'), 0.04975124378109453], [('年费', '减免'), 0.04477611940298507], [('年费', '条件'), 0.04477611940298507], [('信用卡', '减免'), 0.03980099502487562], [('信用卡', '是否'), 0.03482587064676617], [('年费', '是否'), 0.029850746268656716], [('年费', '查询'), 0.029850746268656716], [('减免', '是否'), 0.029850746268656716], [('查询', '减免'), 0.029850746268656716], [('条件', '是否'), 0.029850746268656716], [('条件', '查询'), 0.029850746268656716]]"
1934,1935,信用卡年费减免条件,信用卡|年费|减免|条件|,"[[('信用卡', '年费'), 0.24242424242424243], [('信用卡', '条件'), 0.21212121212121213], [('条件', '减免'), 0.15151515151515152], [('年费', '减免'), 0.13636363636363635], [('年费', '条件'), 0.13636363636363635], [('信用卡', '减免'), 0.12121212121212122]]"
1935,1936,信用卡普卡提供的服务,信用卡|普卡|提供|的|服务|,
1936,1937,手机银行修改信用卡自动还款方法,手机银行|修改|信用卡|自动还款|方法|,"[('信用卡', '手机银行'), 1]"
1937,1938,小M借（个人信用消费贷款）额度,小M借|个人信用|消费贷款|额度|,"[[('个人信用', '消费贷款'), 0.38235294117647056], [('个人信用', '小M借'), 0.2647058823529412], [('小M借', '消费贷款'), 0.2647058823529412], [('额度', '小M借'), 0.029411764705882353], [('额度', '个人信用'), 0.029411764705882353], [('额度', '消费贷款'), 0.029411764705882353]]"
1938,1939,小M借（个人信用消费贷款）审批及放款时间,小M借|个人信用|消费贷款|审批|及|放款|时间|,"[[('个人信用', '消费贷款'), 0.8666666666666667], [('个人信用', '放款'), 0.06666666666666667], [('消费贷款', '放款'), 0.06666666666666667]]"
1939,1940,小M借（个人信用消费贷款）利率,小M借|个人信用|消费贷款|利率|,"[[('个人信用', '消费贷款'), 0.8666666666666667], [('个人信用', '利率'), 0.06666666666666667], [('利率', '消费贷款'), 0.06666666666666667]]"
1940,1941,小M借（个人信用消费贷款）办理方法,小M借|个人信用|消费贷款|办理|方法|,"[[('个人信用', '消费贷款'), 0.41935483870967744], [('个人信用', '小M借'), 0.2903225806451613], [('小M借', '消费贷款'), 0.2903225806451613]]"
1941,1942,增加/变更小M借（个人信用消费贷款）还款账户方法,增加|变更|小M借|个人信用|消费贷款|还款|账户|方法|,"[('个人信用', '消费贷款'), 1]"
1942,1943,手机银行查询信用卡自动还款方法,手机银行|查询|信用卡|自动还款|方法|,"[[('信用卡', '查询'), 0.7961165048543689], [('手机银行', '查询'), 0.17475728155339806], [('信用卡', '手机银行'), 0.02912621359223301]]"
1943,1944,信用卡电话银行到期换卡,信用卡|电话银行|到期|换卡|,"[[('信用卡', '换卡'), 0.5], [('信用卡', '电话银行'), 0.4090909090909091], [('换卡', '电话银行'), 0.09090909090909091]]"
1944,1945,信用卡营业网点提前换卡,信用卡|营业网点|提前|换卡|,"[[('信用卡', '换卡'), 0.4230769230769231], [('信用卡', '营业网点'), 0.3076923076923077], [('信用卡', '提前'), 0.07692307692307693], [('换卡', '提前'), 0.07692307692307693], [('换卡', '营业网点'), 0.07692307692307693], [('营业网点', '提前'), 0.038461538461538464]]"
1945,1946,信用卡挂失销户方法,信用卡|挂失销户|方法|,"[('信用卡', '挂失销户'), 1]"
1946,1947,信用卡境内取款限额,信用卡|境内取款|限额|,"[[('信用卡', '限额'), 0.8], [('信用卡', '境内取款'), 0.13333333333333333], [('限额', '境内取款'), 0.06666666666666667]]"
1947,1948,信用卡境内取款方法,信用卡|境内取款|方法|,"[('信用卡', '境内取款'), 1]"
1948,1949,信用卡违约金介绍,信用卡|违约金|介绍|,"[[('信用卡', '介绍'), 0.7894736842105263], [('信用卡', '违约金'), 0.15789473684210525], [('违约金', '介绍'), 0.05263157894736842]]"
1949,1950,信用卡消费分期办理方法,信用卡|消费分期|办理|方法|,"[[('信用卡', '办理'), 0.7419354838709677], [('信用卡', '消费分期'), 0.22580645161290322], [('办理', '消费分期'), 0.03225806451612903]]"
1950,1951,信用卡现金分期办理方法,信用卡|现金分期|办理|方法|,"[[('信用卡', '办理'), 0.6764705882352942], [('信用卡', '现金分期'), 0.2647058823529412], [('办理', '现金分期'), 0.058823529411764705]]"
1951,1952,电话银行办理信用卡现金分期方法,电话银行|办理|信用卡|现金分期|方法|,"[[('信用卡', '办理'), 0.48936170212765956], [('信用卡', '现金分期'), 0.19148936170212766], [('信用卡', '电话银行'), 0.19148936170212766], [('办理', '电话银行'), 0.06382978723404255], [('办理', '现金分期'), 0.0425531914893617], [('电话银行', '现金分期'), 0.02127659574468085]]"
1952,1953,手机银行办理信用卡现金分期方法,手机银行|办理|信用卡|现金分期|方法|,"[[('信用卡', '办理'), 0.5227272727272727], [('信用卡', '现金分期'), 0.20454545454545456], [('手机银行', '办理'), 0.13636363636363635], [('信用卡', '手机银行'), 0.06818181818181818], [('办理', '现金分期'), 0.045454545454545456], [('手机银行', '现金分期'), 0.022727272727272728]]"
1953,1954,信用卡汇总分期办理方法,信用卡|汇总|分期|办理|方法|,"[[('信用卡', '办理'), 0.32857142857142857], [('信用卡', '分期'), 0.2857142857142857], [('办理', '分期'), 0.12857142857142856], [('信用卡', '汇总'), 0.11428571428571428], [('汇总', '分期'), 0.11428571428571428], [('办理', '汇总'), 0.02857142857142857]]"
1954,1955,电话银行办理信用卡汇总分期方法,电话银行|办理|信用卡|汇总|分期|方法|,"[[('信用卡', '办理'), 0.27380952380952384], [('信用卡', '分期'), 0.23809523809523808], [('办理', '分期'), 0.10714285714285714], [('信用卡', '电话银行'), 0.10714285714285714], [('汇总', '分期'), 0.09523809523809523], [('信用卡', '汇总'), 0.09523809523809523], [('办理', '电话银行'), 0.03571428571428571], [('办理', '汇总'), 0.023809523809523808], [('电话银行', '汇总'), 0.011904761904761904], [('电话银行', '分期'), 0.011904761904761904]]"
1955,1956,网银办理信用卡汇总分期方法,网银|办理|信用卡|汇总|分期|方法|,"[[('信用卡', '方法'), 0.3333333333333333], [('信用卡', '办理'), 0.19658119658119658], [('信用卡', '分期'), 0.17094017094017094], [('办理', '分期'), 0.07692307692307693], [('汇总', '分期'), 0.06837606837606838], [('信用卡', '汇总'), 0.06837606837606838], [('办理', '方法'), 0.05128205128205128], [('办理', '汇总'), 0.017094017094017096], [('方法', '汇总'), 0.008547008547008548], [('方法', '分期'), 0.008547008547008548]]"
1956,1957,信用卡启用时限,信用卡|启用|时限|,
1957,1958,信用卡启用生效时间,信用卡|启用|生效时间|,
1958,1959,信用卡查询,信用卡|查询|,"[('信用卡', '查询'), 1]"
1959,1960,小M办理信用卡还款方法,小M|办理|信用卡|还款|方法|,"[[('信用卡', '还款'), 0.95], [('信用卡', '小M'), 0.025], [('小M', '还款'), 0.025]]"
1960,1961,信用卡办卡费用,信用卡|办卡|费用|,"[('信用卡', '费用'), 1]"
1961,1962,手机银行查询信用卡办卡进度,手机银行|查询|信用卡|办卡|进度|,"[[('信用卡', '查询'), 0.9647058823529412], [('信用卡', '办卡'), 0.023529411764705882], [('办卡', '查询'), 0.011764705882352941]]"
1962,1963,信用卡申请材料,信用卡申请|材料|,"[('信用卡申请', '材料'), 1]"
1963,1964,营业网点办理信用卡副卡,营业网点|办理|信用卡|副卡|,"[[('信用卡', '办理'), 0.5609756097560976], [('信用卡', '营业网点'), 0.1951219512195122], [('信用卡', '副卡'), 0.12195121951219512], [('办理', '营业网点'), 0.07317073170731707], [('营业网点', '副卡'), 0.024390243902439025], [('办理', '副卡'), 0.024390243902439025]]"
1964,1965,营业网点修改信用卡还款日方法,营业网点|修改|信用卡|还款日|方法|,"[[('信用卡', '方法'), 0.5131578947368421], [('信用卡', '修改'), 0.42105263157894735], [('方法', '修改'), 0.06578947368421052]]"
1965,1966,调整信用卡小M贷还款日,调整|信用卡|小M贷|还款日|,"[[('信用卡', '调整'), 0.6923076923076923], [('信用卡', '小M贷'), 0.23076923076923078], [('小M贷', '调整'), 0.07692307692307693]]"
1966,1967,拒付需要提供的资料,拒付|需要提供|的|资料|,"[[('资料', '需要提供'), 0.3333333333333333], [('拒付', '需要提供'), 0.3333333333333333], [('资料', '拒付'), 0.3333333333333333]]"
1967,1968,白金卡申请条件,白金卡|申请条件|,"[('申请条件', '白金卡'), 1]"
1968,1969,查询本人名下信用卡,查询|本人|名下|信用卡|,"[[('信用卡', '查询'), 0.9761904761904762], [('信用卡', '名下'), 0.011904761904761904], [('名下', '查询'), 0.011904761904761904]]"
1969,1970,黑金卡年费减免条件,黑金卡|年费|减免|条件|,"[[('年费', '条件'), 0.8181818181818182], [('年费', '黑金卡'), 0.09090909090909091], [('条件', '黑金卡'), 0.09090909090909091]]"
1970,1971,准贷记卡年费收取标准,准贷记卡|年费|收取|标准|,"[[('年费', '标准'), 0.75], [('准贷记卡', '标准'), 0.125], [('年费', '准贷记卡'), 0.125]]"
